"Year","Ceremony","Category","Nominee","Film","Winner"
"2024","Golden Globes","Best Original Score","Clément DucolandCamille","Emilia Pérez","Nominee"
"2024","Golden Globes","Best Original Score","Kris Bowers","The Wild Robot","Nominee"
"2024","Golden Globes","Best Original Song","El Mal - Camille,Clément Ducol&Jacques Audiard","Emilia Pérez","Yes"
"2024","Golden Globes","Best Original Song","Forbidden Road - Robbie Williams,Freddy Wexler, andSacha Skarbek","Better Man","Nominee"
"2024","Golden Globes","Best Original Song","Compress / Repress - Trent Reznor,Atticus Ross, andLuca Guadagnino","Challengers","Nominee"
"2024","Golden Globes","Best Original Song","Mi camino - Clément Ducol and Camille","Emilia Pérez","Nominee"
"2024","Golden Globes","Best Original Song","Beautiful That Way - Andrew Wyatt,Miley Cyrus, andLykke Li","The Last Showgirl","Nominee"
"2024","Golden Globes","Best Original Song","Kiss the Sky - Delacey,Jordan K. Johnson, Stefan Johnson,Maren Morris,Michael Pollack, andAli Tamposi","The Wild Robot","Nominee"
"2024","Oscars","Best Original Score","Daniel Blumberg","The Brutalist","Yes"
"2024","Oscars","Best Original Score","Volker Bertelmann","Conclave","Nominee"
"2024","Oscars","Best Original Score","Clément DucolandCamille","Emilia Pérez","Nominee"
"2024","Oscars","Best Original Score","John PowellandStephen Schwartz","Wicked","Nominee"
"2024","Oscars","Best Original Score","Kris Bowers","The Wild Robot","Nominee"
"2024","Oscars","Best Original Song","El Mal - Camille&Clément Ducol(music);Jacques Audiard, Camille & Ducol(lyrics)","Emilia Pérez","Yes"
"2024","Oscars","Best Original Song","Never Too Late - Brandi Carlile,Elton John,Bernie Taupin&Watt(music & lyrics)","Elton John: Never Too Late","Nominee"
"2024","Oscars","Best Original Song","Mi Camino - Camille & Ducol(music & lyrics)","Emilia Pérez","Nominee"
"2024","Oscars","Best Original Song","Like a Bird - Abraham Alexander&Adrian Quesada(music & lyrics)","Sing Sing","Nominee"
"2024","Oscars","Best Original Song","The Journey - Diane Warren(music & lyrics)","The Six Triple Eight","Nominee"
"2023","BAFTA","Best Sound","Johnnie BurnandTarn Willers","The Zone of Interest","Yes"
"2023","BAFTA","Best Sound","Angelo Bonanni,Tony Lamberti,Andy Nelson,Lee Orloffand Bernard Weiser","Ferrari","Nominee"
"2023","BAFTA","Best Sound","Richard King,Steve Morrow,Tom Ozanich,Jason RuderandDean Zupancic","Maestro","Nominee"
"2023","BAFTA","Best Sound","Chris Burdon,James H. Mather,Chris MunroandMark Taylor","Mission: Impossible – Dead Reckoning Part One","Nominee"
"2023","BAFTA","Best Sound","Willie Burton,Richard King,Kevin OConnellandGary A. Rizzo","Oppenheimer","Nominee"
"2023","Critics Choice","Best Score","Ludwig Göransson","Oppenheimer","Yes"
"2023","Critics Choice","Best Score","Jerskin Fendrix","Poor Things","Nominee"
"2023","Critics Choice","Best Score","Michael Giacchino","Society of the Snow","Nominee"
"2023","Critics Choice","Best Score","Daniel Pemberton","Spider-Man: Across the Spider-Verse","Nominee"
"2023","Critics Choice","Best Score","Robbie Robertson(posthumous)","Killers of the Flower Moon","Nominee"
"2023","Critics Choice","Best Score","Mark RonsonandAndrew Wyatt","Barbie","Nominee"
"2023","Critics Choice","Best Song","Im Just Ken - Written by Mark Ronson & Andrew Wyatt; Performed byRyan Gosling","Barbie","Yes"
"2023","Critics Choice","Best Song","Dance the Night - Written by Caroline Ailen,Dua LipaMark Ronson&Andrew Wyatt; Performed by Lipa","Barbie","Nominee"
"2023","Critics Choice","Best Song","Peaches - Written byJack Black,Aaron Horvath,Michael Jelenic, Eric Osmond & John Spiker; Performed by Black","The Super Mario Bros. Movie","Nominee"
"2023","Critics Choice","Best Song","Road to Freedom - Written & Performed byLenny Kravitz","Rustin","Nominee"
"2023","Critics Choice","Best Song","This Wish - Written byJulia Michaels& Benjamin Rice; Performed byAriana DeBose","Wish","Nominee"
"2023","Critics Choice","Best Song","What Was I Made For? - Written byBillie Eilish&Finneas OConnell; Performed by Eilish","Barbie","Nominee"
"2023","Golden Globes","Best Original Score","Ludwig Göransson","Oppenheimer","Yes"
"2023","Golden Globes","Best Original Score","Joe Hisaishi","The Boy and the Heron","Nominee"
"2023","Golden Globes","Best Original Score","Robbie Robertson(posthumous)","Killers of the Flower Moon","Nominee"
"2023","Golden Globes","Best Original Score","Jerskin Fendrix","Poor Things","Nominee"
"2023","Golden Globes","Best Original Score","Daniel Pemberton","Spider-Man: Across the Spider-Verse","Nominee"
"2023","Golden Globes","Best Original Score","Mica Levi","The Zone of Interest","Nominee"
