"Year","Ceremony","Category","Nominee","Film","Winner"
"2019","Oscars","Best Original Song","Stand Up - Joshuah Brian Campbell &Cynthia Erivo(music & lyrics)","Harriet","Nominee"
"2019","Oscars","Best Original Song","I Cant Let You Throw Yourself Away - Randy Newman(music & lyrics)","Toy Story 4","Nominee"
"2018","BAFTA","Best Sound","John Casali,Tim Cavagin,Nina Hartstone,Paul MasseyandJohn Warhurst","Bohemian Rhapsody","Yes"
"2018","BAFTA","Best Sound","Mary H. Ellis,Mildred Iatrou Morgan,Ai-Ling Lee,Frank A. MontañoandJon Taylor","First Man","Nominee"
"2018","BAFTA","Best Sound","Gilbert Lake,James H. Mather,Chris MunroandMike Prestwood Smith","Mission: Impossible – Fallout","Nominee"
"2018","BAFTA","Best Sound","Erik Aadahl, Michael Barosky,Brandon ProctorandEthan Van der Ryn","A Quiet Place","Nominee"
"2018","BAFTA","Best Sound","Steven A. Morrow,Alan Robert Murray,Jason Ruder,Tom OzanichandDean A. Zupancic","A Star Is Born","Nominee"
"2018","Critics Choice","Best Score","Justin Hurwitz","First Man","Yes"
"2018","Critics Choice","Best Score","Kris Bowers","Green Book","Nominee"
"2018","Critics Choice","Best Score","Nicholas Britell","If Beale Street Could Talk","Nominee"
"2018","Critics Choice","Best Score","Alexandre Desplat","Isle of Dogs","Nominee"
"2018","Critics Choice","Best Score","Ludwig Göransson","Black Panther","Nominee"
"2018","Critics Choice","Best Score","Marc Shaiman","Mary Poppins Returns","Nominee"
"2018","Critics Choice","Best Song","Shallow - Written byLady Gaga,Mark Ronson,Anthony Rossomando&Andrew Wyatt; Performed byBradley Cooper& Gaga","A Star Is Born","Yes"
"2018","Critics Choice","Best Song","All the Stars - Written byTop Dawg,Kendrick Lamar,Al Shux,Sounwave&SZA; Performed by Lamar & SZA","Black Panther","Nominee"
"2018","Critics Choice","Best Song","Girl in the Movies - Written byDolly Parton&Linda Perry; Performed by Parton","Dumplin","Nominee"
"2018","Critics Choice","Best Song","Ill Fight - Written byDiane Warren; Performed byJennifer Hudson","RBG","Nominee"
"2018","Critics Choice","Best Song","The Place Where Lost Things Go - Written byMarc Shaiman&Scott Wittman; Performed byEmily Blunt","Mary Poppins Returns","Nominee"
"2018","Golden Globes","Best Original Score","Justin Hurwitz","First Man","Yes"
"2018","Golden Globes","Best Original Score","Ludwig Göransson","Black Panther","Nominee"
"2018","Golden Globes","Best Original Score","Alexandre Desplat","Isle of Dogs","Nominee"
"2018","Golden Globes","Best Original Score","Marc Shaiman","Mary Poppins Returns","Nominee"
"2018","Golden Globes","Best Original Score","Marco Beltrami","A Quiet Place","Nominee"
"2018","Golden Globes","Best Original Song","Shallow - Lady Gaga,Mark Ronson,Anthony Rossomando&Andrew Wyatt","A Star Is Born","Yes"
"2018","Golden Globes","Best Original Song","All the Stars - Kendrick Lamar,SZA,Anthony Tiffith,Al ShuxandMark Spears","Black Panther","Nominee"
"2018","Golden Globes","Best Original Song","Revelation - Troye Sivan,Jónsi&Brett McLaughlin","Boy Erased","Nominee"
"2018","Golden Globes","Best Original Song","Girl in the Movies - Dolly Parton&Linda Perry","Dumplin","Nominee"
"2018","Golden Globes","Best Original Song","Requiem for a Private War - Annie Lennox","A Private War","Nominee"
"2018","Oscars","Best Original Score","Ludwig Göransson","Black Panther","Yes"
"2018","Oscars","Best Original Score","Terence Blanchard","BlacKkKlansman","Nominee"
"2018","Oscars","Best Original Score","Nicholas Britell","If Beale Street Could Talk","Nominee"
"2018","Oscars","Best Original Score","Alexandre Desplat","Isle of Dogs","Nominee"
"2018","Oscars","Best Original Score","Marc Shaiman","Mary Poppins Returns","Nominee"
"2018","Oscars","Best Original Song","Shallow - Lady Gaga,Mark Ronson,Anthony Rossomando&Andrew Wyatt(music & lyrics)","A Star Is Born","Yes"
"2018","Oscars","Best Original Song","When a Cowboy Trades His Spurs for Wings - David Rawlings&Gillian Welch(music & lyrics)","The Ballad of Buster Scruggs","Nominee"
"2018","Oscars","Best Original Song","All the Stars - Kendrick Lamar,Sounwave& Anthony Tiffith(music); Lamar,SZA& Tiffith(lyrics)","Black Panther","Nominee"
"2018","Oscars","Best Original Song","The Place Where Lost Things Go - Marc Shaiman(music); Shaiman &Scott Wittman(lyrics)","Mary Poppins Returns","Nominee"
"2018","Oscars","Best Original Song","Ill Fight - Diane Warren(music & lyrics)","RBG","Nominee"
"2017","BAFTA","Best Sound","Alex Gibson,Richard King,Gregg Landaker,Gary A. RizzoandMark Weingarten","Dunkirk","Yes"
"2017","BAFTA","Best Sound","Tim Cavagin,Mary H. Ellis, Dan Morgan, Jeremy Price andJulian Slater","Baby Driver","Nominee"
"2017","BAFTA","Best Sound","Ron Bartlett,Theo Green,Doug Hemphill,Mark ManginiandMac Ruth","Blade Runner 2049","Nominee"
"2017","BAFTA","Best Sound","Christian Cooke,Nelson Ferreira,Glen Gauthier,Nathan RobitailleandBrad Zoern","The Shape of Water","Nominee"
"2017","BAFTA","Best Sound","Ren Klyce,David Parker,Michael Semanick,Stuart WilsonandMatthew Wood","Star Wars: The Last Jedi","Nominee"
"2017","Critics Choice","Best Score","Alexandre Desplat","The Shape of Water","Yes"
"2017","Critics Choice","Best Score","Jonny Greenwood","Phantom Thread","Nominee"
"2017","Critics Choice","Best Score","Dario Marianelli","Darkest Hour","Nominee"
"2017","Critics Choice","Best Score","Benjamin WallfischandHans Zimmer","Blade Runner 2049","Nominee"
"2017","Critics Choice","Best Score","John Williams","The Post","Nominee"
"2017","Critics Choice","Best Score","Hans Zimmer","Dunkirk","Nominee"
"2017","Critics Choice","Best Song","Remember Me - Written byKristen Anderson-Lopez&Robert Lopez; Performed byBenjamin Bratt","Coco","Yes"
"2017","Critics Choice","Best Song","Evermore - Written byAlan Menken&Tim Rice; Performed byDan Stevens","Beauty and the Beast","Nominee"
"2017","Critics Choice","Best Song","Mystery of Love - Written and Performed bySufjan Stevens","Call Me by Your Name","Nominee"
"2017","Critics Choice","Best Song","Stand Up for Something - Written byCommon&Diane Warren; Performed by Common &Andra Day","Marshall","Nominee"
"2017","Critics Choice","Best Song","This Is Me - Written byPasek & Paul; Performed byKeala Settle","The Greatest Showman","Nominee"
"2017","Golden Globes","Best Original Score","Alexandre Desplat","The Shape of Water","Yes"
"2017","Golden Globes","Best Original Score","Hans Zimmer","Dunkirk","Nominee"
"2017","Golden Globes","Best Original Score","Jonny Greenwood","Phantom Thread","Nominee"
"2017","Golden Globes","Best Original Score","John Williams","The Post","Nominee"
"2017","Golden Globes","Best Original Score","Carter Burwell","Three Billboards Outside Ebbing, Missouri","Nominee"
"2017","Golden Globes","Best Original Song","This Is Me - Benj Pasek & Justin Paul","The Greatest Showman","Yes"
"2017","Golden Globes","Best Original Song","Remember Me - Kristen Anderson-Lopez&Robert Lopez","Coco","Nominee"
"2017","Golden Globes","Best Original Song","Home - Nick Jonas,Nick Monson&Justin Tranter","Ferdinand","Nominee"
"2017","Golden Globes","Best Original Song","Mighty River - Mary J. Blige,Charles Wiggins&Taura Stinson","Mudbound","Nominee"
"2017","Golden Globes","Best Original Song","The Star - Mariah CareyandMarc Shaiman","The Star","Nominee"
"2017","Oscars","Best Original Score","Alexandre Desplat","The Shape of Water","Yes"
"2017","Oscars","Best Original Score","Hans Zimmer","Dunkirk","Nominee"
"2017","Oscars","Best Original Score","Jonny Greenwood","Phantom Thread","Nominee"
"2017","Oscars","Best Original Score","John Williams","Star Wars: The Last Jedi","Nominee"
"2017","Oscars","Best Original Score","Carter Burwell","Three Billboards Outside Ebbing, Missouri","Nominee"
"2017","Oscars","Best Original Song","Remember Me - Kristen Anderson-Lopez&Robert Lopez(music & lyrics)","Coco","Yes"
"2017","Oscars","Best Original Song","Mystery of Love - Sufjan Stevens(music & lyrics)","Call Me by Your Name","Nominee"
"2017","Oscars","Best Original Song","This Is Me - Pasek & Paul(music & lyrics)","The Greatest Showman","Nominee"
"2017","Oscars","Best Original Song","Stand Up for Something - Diane Warren(music);Common& Warren(lyrics)","Marshall","Nominee"
"2017","Oscars","Best Original Song","Mighty River - Mary J. Blige,Raphael Saadiq&Taura Stinson(music & lyrics)","Mudbound","Nominee"
"2016","BAFTA","Best Sound","Claude La Haye,Bernard Gariépy StroblandSylvain Bellemare","Arrival","Yes"
"2016","BAFTA","Best Sound","Mike Prestwood Smith, Dror Mohar,Wylie StatemanandDavid Wyman","Deepwater Horizon","Nominee"
"2016","BAFTA","Best Sound","Niv Adiri,Glenn Freemantle,Simon Hayes,Andy NelsonandIan Tapp","Fantastic Beasts and Where to Find Them","Nominee"
"2016","BAFTA","Best Sound","Peter Grace,Robert Mackenzie,Kevin OConnellandAndy Wright","Hacksaw Ridge","Nominee"
"2016","BAFTA","Best Sound","Mildred Iatrou Morgan,Ai-Ling Lee,Steven A. MorrowandAndy Nelson","La La Land","Nominee"
"2016","Critics Choice","Best Score","Justin Hurwitz","La La Land","Yes"
"2016","Critics Choice","Best Score","Nicholas Britell","Moonlight","Nominee"
"2016","Critics Choice","Best Score","Jóhann Jóhannsson","Arrival","Nominee"
"2016","Critics Choice","Best Score","Mica Levi","Jackie","Nominee"
"2016","Critics Choice","Best Score","Dustin OHalloranandHauschka","Lion","Nominee"
"2016","Critics Choice","Best Song","City of Stars - Written byJustin Hurwitz&Pasek & Paul; Performed byRyan Gosling&Emma Stone","La La Land","Yes"
"2016","Critics Choice","Best Song","Cant Stop the Feeling! - Written byMax Martin,Shellback&Justin Timberlake; Performed by the cast ofTrolls","Trolls","Nominee"
"2016","Critics Choice","Best Song","Audition - Written byJustin Hurwitz&Pasek & Paul; Performed byEmma Stone","La La Land","Nominee"
"2016","Critics Choice","Best Song","Drive It Like You Stole It - Written byGary Clark; Performed byFerdia Walsh-Peelo","Sing Street","Nominee"
"2016","Critics Choice","Best Song","How Far Ill Go - Written byLin-Manuel Miranda; Performed byAuliʻi Cravalho","Moana","Nominee"
"2016","Critics Choice","Best Song","The Rules Dont Apply - Written by Eddie Arkin &Lorraine Feather; Performed byLily Collins","Rules Dont Apply","Nominee"
"2016","Golden Globes","Best Original Score","Justin Hurwitz","La La Land","Yes"
"2016","Golden Globes","Best Original Score","Jóhann Jóhannsson","Arrival","Nominee"
"2016","Golden Globes","Best Original Score","Hans Zimmer,Pharrell Williams,Benjamin Wallfisch","Hidden Figures","Nominee"
"2016","Golden Globes","Best Original Score","Dustin OHalloran,Hauschka","Lion","Nominee"
"2016","Golden Globes","Best Original Score","Nicholas Britell","Moonlight","Nominee"
"2016","Golden Globes","Best Original Song","City of Stars - Justin Hurwitz,Benj Pasek & Justin Paul","La La Land","Yes"
"2016","Golden Globes","Best Original Song","Gold - Iggy PopbyDaniel Pemberton,Brian BurtonandStephen Gaghan","Gold","Nominee"
"2016","Golden Globes","Best Original Song","How Far Ill Go - Lin-Manuel Miranda","Moana","Nominee"
"2016","Golden Globes","Best Original Song","Faith - Stevie Wonder,Ryan Tedder&Francis Farewell Starlite","Sing","Nominee"
"2016","Golden Globes","Best Original Song","Cant Stop the Feeling! - Justin Timberlake,Max MartinandShellback","Trolls","Nominee"
"2016","Oscars","Best Original Score","Justin Hurwitz","La La Land","Yes"
"2016","Oscars","Best Original Score","Mica Levi","Jackie","Nominee"
"2016","Oscars","Best Original Score","Dustin OHalloranandVolker Bertelmann","Lion","Nominee"
"2016","Oscars","Best Original Score","Nicholas Britell","Moonlight","Nominee"
"2016","Oscars","Best Original Score","Thomas Newman","Passengers","Nominee"
"2016","Oscars","Best Original Song","City of Stars - Justin Hurwitz(music);Pasek & Paul(lyrics)","La La Land","Yes"
"2016","Oscars","Best Original Song","The Empty Chair - J. Ralph&Sting(music & lyrics)","Jim: The James Foley Story","Nominee"
"2016","Oscars","Best Original Song","Audition (The Fools Who Dream) - Hurwitz(music); Pasek & Paul(lyrics)","La La Land","Nominee"
"2016","Oscars","Best Original Song","How Far Ill Go - Lin-Manuel Miranda(music & lyrics)","Moana","Nominee"
"2016","Oscars","Best Original Song","Cant Stop the Feeling! - Max Martin,Shellback&Justin Timberlake(music & lyrics)","Trolls","Nominee"
"2015","BAFTA","Best Sound","Lon Bender,Chris Duesterdiek,Martin Hernández,Frank A. Montaño,Jon TaylorandRandy Thom","The Revenant","Yes"
"2015","BAFTA","Best Sound","Drew Kunin,Richard Hymns,Andy NelsonandGary Rydstrom","Bridge of Spies","Nominee"
"2015","BAFTA","Best Sound","Scott Hecker,Chris Jenkins,Mark Mangini,Ben Osmo,Gregg RudloffandDavid White","Mad Max: Fury Road","Nominee"
"2015","BAFTA","Best Sound","Paul Massey,Mac Ruth,Oliver TarneyandMark Taylor","The Martian","Nominee"
"2015","BAFTA","Best Sound","David Acord,Andy Nelson,Christopher Scarabosio,Matthew WoodandStuart Wilson","Star Wars: The Force Awakens","Nominee"
"2015","Critics Choice","Best Score","Ennio Morricone","The Hateful Eight","Yes"
"2015","Critics Choice","Best Score","Carter Burwell","Carol","Nominee"
"2015","Critics Choice","Best Score","Jóhann Jóhannsson","Sicario","Nominee"
"2015","Critics Choice","Best Score","Ryuichi SakamotoandAlva Noto","The Revenant","Nominee"
"2015","Critics Choice","Best Score","Howard Shore","Spotlight","Nominee"
"2015","Critics Choice","Best Song","See You Again - Written byWiz Khalifa,Charlie Puth, Andrew Cedar &DJ Frank E; Performed by Khalifa & Puth","Furious 7","Yes"
"2015","Critics Choice","Best Song","Love Me like You Do - Written byIlya,Savan Kotecha,Tove Lo,Max Martin&Ali Payami; Performed byEllie Goulding","Fifty Shades of Grey","Nominee"
"2015","Critics Choice","Best Song","One Kind of Love - Written byBrian Wilson& Scott Bennett; Performed by Wilson","Love & Mercy","Nominee"
"2015","Critics Choice","Best Song","Simple Song #3 - Written byDavid Lang; Performed bySumi Jo","Youth","Nominee"
"2015","Critics Choice","Best Song","Til It Happens to You - Written byLady Gaga&Diane Warren; Performed by Gaga","The Hunting Ground","Nominee"
"2015","Critics Choice","Best Song","Writings on the Wall - Written bySam Smith&Jimmy Napes; Performed by Smith","Spectre","Nominee"
"2015","Golden Globes","Best Original Score","Ennio Morricone","The Hateful Eight","Yes"
"2015","Golden Globes","Best Original Score","Carter Burwell","Carol","Nominee"
"2015","Golden Globes","Best Original Score","Alexandre Desplat","The Danish Girl","Nominee"
"2015","Golden Globes","Best Original Score","Ryuichi Sakamoto,Alva Noto","The Revenant","Nominee"
"2015","Golden Globes","Best Original Score","Daniel Pemberton","Steve Jobs","Nominee"
"2015","Golden Globes","Best Original Song","Writings on the Wall - Sam Smith&Jimmy Napes","Spectre","Yes"
"2015","Golden Globes","Best Original Song","Love Me like You Do - Max Martin,Savan Kotecha,Ali Payami,Tove Lo&Ilya Salmanzadeh","Fifty Shades of Grey","Nominee"
"2015","Golden Globes","Best Original Song","See You Again - Wiz Khalifa,Charlie Puth,Justin Franksand Andrew Cedar","Furious 7","Nominee"
"2015","Golden Globes","Best Original Song","One Kind of Love - Brian Wilson&Scott Bennett","Love & Mercy","Nominee"
"2015","Golden Globes","Best Original Song","Simple Song #3 - Sumi JoandDavid Lang","Youth","Nominee"
"2015","Oscars","Best Original Score","Ennio Morricone","The Hateful Eight","Yes"
"2015","Oscars","Best Original Score","Thomas Newman","Bridge of Spies","Nominee"
"2015","Oscars","Best Original Score","Carter Burwell","Carol","Nominee"
"2015","Oscars","Best Original Score","Jóhann Jóhannsson","Sicario","Nominee"
"2015","Oscars","Best Original Score","John Williams","Star Wars: The Force Awakens","Nominee"
"2015","Oscars","Best Original Song","Writings on the Wall - Jimmy Napes&Sam Smith(music & lyrics)","Spectre","Yes"
"2015","Oscars","Best Original Song","Earned It - Belly,DaHeala,Stephan Moccio&The Weeknd(music & lyrics)","Fifty Shades of Grey","Nominee"
"2015","Oscars","Best Original Song","Til It Happens to You - Lady Gaga&Diane Warren(music & lyrics)","The Hunting Ground","Nominee"
"2015","Oscars","Best Original Song","Manta Ray - J. Ralph(music);Anohni(lyrics)","Racing Extinction","Nominee"
"2015","Oscars","Best Original Song","Simple Song #3 - David Lang(music & lyrics)","Youth","Nominee"
