film_vote_count,film_popularity,film_budget,film_revenue,film_rating,days_since_film_release,film_runtime_min,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,days_since_album_release,n_tracks,composer_album_count,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,us_score_nominee_count,us_song_nominee_count,bafta_nominee,log_lfm_album_listeners
1035,2.236,18000000,43387445,6.447,1983,98,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,37.0,13,0,0,0,0,0,0,0,0,0,0,0.0
3246,2.2003,35000000,107423,7.67,1954,130,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2222.0,16.0,25,0,0,0,0,0,0,0,0,2,0,3.332204510175204
559,2.0911,0,0,5.725,2004,89,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,20.0,2,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
1611,2.0889,6000000,1023510,6.1,2199,110,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,2199.0,13.0,4,0,0,0,0,0,0,0,0,0,0,4.31748811353631
742,2.0652,21000000,7997460,6.815,1913,114,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,21.0,25,0,0,0,0,0,0,0,0,0,0,2.772588722239781
1704,1.959,125000000,0,5.5,2073,94,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,,28.0,6,0,0,0,0,0,0,0,0,0,0,3.4011973816621555
2587,1.9038,7000000,49500000,5.763,2180,109,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,,19.0,21,0,0,0,0,0,0,0,0,0,0,1.791759469228055
1733,1.8821,25000000,122252,6.676,1905,132,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1856.0,87.0,10,0,1,0,0,0,0,0,2,0,0,2.70805020110221
1957,1.8163,0,70018,5.733,1878,118,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1856.0,26.0,20,0,0,0,0,0,0,0,2,0,0,4.406719247264253
949,1.7478,0,0,7.049,2110,92,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,24.0,13,0,0,0,0,0,0,0,0,0,0,1.791759469228055
1141,1.6962,0,0,6.297,1933,123,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,,20.0,5,0,0,0,0,0,0,0,0,0,0,3.091042453358316
965,1.5288,15000000,7060384,6.249,1977,105,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,14.0,1,0,0,0,0,0,0,0,0,0,0,0.0
1141,1.3259,45000000,0,6.5,2059,155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,21.0,5,0,0,0,0,0,0,0,0,0,0,3.1780538303479458
511,1.2747,2000000,101068,7.053,2157,122,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2157.0,8.0,1,0,0,0,0,0,0,1,0,0,0,9.344084242025778
539,1.0815,18000000,0,6.084,1899,101,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,12.0,1,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
14328,21.3379,165000000,410668500,7.776,1599,155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1597.0,22.0,23,0,1,0,0,0,0,0,3,0,1,6.621405651764134
1718,17.7326,100000000,76016171,6.955,1515,156,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1856.0,20.0,1,0,0,0,0,0,0,0,0,0,1,10.715017588824423
9334,13.8063,185000000,168717425,7.474,1648,132,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,23.0,4,0,0,0,0,0,0,0,0,0,0,3.8501476017100575
