tmdb_id,film_title,film_adult,film_runtime_min,film_genres,film_rating,film_vote_count,film_mpaa_rating,film_original_title,film_language_name,film_imdb_id,film_wikidata_id,film_countries,film_year,film_release_date,film_popularity,film_budget,film_revenue,film_studios,film_director,film_soundtrack_composer_raw,film_top_cast,film_keywords,film_ingested_at,match_method,soundtrack_type,notes,matched_at,release_group_id,release_group_mbid,album_title,rg_primary_type,rg_secondary_types,release_id,release_mbid,release_title,release_status,release_packaging,barcode,release_language,release_script,release_comment,album_us_release_date,album_us_release_year,album_us_release_month_min_observed,album_us_release_day_min_observed,us_date_has_missing_month,us_date_has_missing_day,us_any_event_missing_month,us_any_event_missing_day,rg_tags_text,release_tags_text,label_names,label_mbids,label_tags_text,rg_rating,rg_rating_count,release_meta_date_added,release_meta_info_url,release_meta_amazon_asin,release_meta_cover_art_presence,release_status_clean,keep_row,is_canonical_soundtrack,is_canonical_songtrack,canonical_rule,canonical_songtrack_rule,days_since_film_release,days_since_album_release,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,vote_count_above_500,composer_primary_clean,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_album_status,lfm_album_listeners,lfm_album_playcount,lfm_album_url,lfm_album_query_method,lfm_album_pulled_at,log_lfm_album_listeners,log_lfm_album_playcount
402900,Ocean's Eight,False,111,"Crime, Comedy, Action",7.0,8640,PG-13,Ocean's Eight,English,tt5164214,Q25627545,United States of America,2018,2018-06-07,7.4178,70000000,297718711,"Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions",Gary Ross,Daniel Pemberton,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson","new york city, heist, spin off, estranged sister, the met gala",2026-01-19 01:36:05.812 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1999704,7b5d0744-50f5-4d09-b363-fd4444488f14,Ocean’s 8: Original Motion Picture Soundtrack,Album,Soundtrack,2210148.0,0129681f-0fd0-429a-97ec-f9d8c5005083,Ocean’s 8,Official,,,English,Latin,,2018-06-08,2018.0,6.0,8.0,False,False,False,False,classical | pop,,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2018-07-08 16:01:26.762 -0400,https://www.amazon.com/gp/product/B07DD2NRZV,B07DD2NRZV,present,Official,True,True,False,single_album_film,,2795,2794.0,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Daniel Pemberton,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,896.0,7224.0,https://www.last.fm/music/Daniel+Pemberton/Ocean%27s+8,mbid,2026-01-28 21:49:11.713369+00:00,6.79794041297493,8.88516409509682
300668,Annihilation,False,115,"Science Fiction, Horror",6.436,9148,R,Annihilation,English,tt2798920,Q25136228,United Kingdom / United States of America,2018,2018-02-22,6.6724,40000000,43070915,"Paramount Pictures, Skydance Media, DNA Films, Scott Rudin Productions",Alex Garland,"Ben Salisbury, Geoff Barrow","Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny","depression, florida, quarantine, coma, based on novel or book",2026-01-19 01:36:05.812 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1930291,e9a881c7-4204-4c49-b073-92489a7a534f,Annihilation,Album,Soundtrack,2124071.0,e919800c-95d8-46a9-98c5-76779a564e07,Annihilation,Official,,,English,Latin,,2019-01-01,2019.0,,,True,True,True,True,ambient | rock,,Invada,6e09bb0a-d532-4af4-a8d2-d40aa1bc6ba0,,80.0,1.0,2018-02-21 14:41:35.686 -0500,https://www.amazon.com/gp/product/B079H58ZPQ,B079H58ZPQ,present,Official,True,True,False,single_album_film,,2900,2587.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,Ben Salisbury,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,52.0,1226.0,https://www.last.fm/music/Ben+Salisbury/Annihilation,text,2026-01-28 22:14:20.342807+00:00,3.9512437185814275,7.111512116496157
363088,Ant-Man and the Wasp,False,119,"Action, Adventure, Science Fiction",6.91,13927,PG-13,Ant-Man and the Wasp,English,tt5095030,Q22957393,United States of America,2018,2018-07-04,6.362,140000000,622674139,Marvel Studios,Peyton Reed,Christophe Beck,"Paul Rudd, Evangeline Lilly, Michael Douglas, Hannah John-Kamen, Randall Park","van, dreams, insect, flying, chase",2026-01-19 01:36:05.812 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,2006581,5892674d-d841-4ae5-8c02-1170abf481dd,Ant‐Man and the Wasp: Original Motion Picture Soundtrack,Album,Soundtrack,2218891.0,02456df0-e660-44cf-b60d-9fe5f21cff66,Ant‐Man and the Wasp: Original Motion Picture Soundtrack,Official,,50087398590.0,English,Latin,,2018-07-06,2018.0,7.0,6.0,False,False,False,False,,,Hollywood Records,6bb7c1b2-cb06-4381-9c59-02b1ae4aa96d,electro pop | pop | rock | soundtrack | teen pop | alternative | country | dance | hip hop | hip-hop,,,2018-07-21 13:52:34.437 -0400,https://www.amazon.com/gp/product/B07F3NFPFN,B07F3NFPFN,present,Official,True,True,False,single_album_film,,2768,2766.0,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Christophe Beck,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,19.0,234.0,https://www.last.fm/music/Christophe+Beck/Ant%E2%80%90Man+and+the+Wasp:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:41:53.536920+00:00,2.9444389791664403,5.455321115357702
345887,The Equalizer 2,False,121,"Action, Thriller, Crime",6.782,5782,R,The Equalizer 2,English,tt3766354,Q41493467,United States of America,2018,2018-07-19,6.0423,62000000,190400157,"Lonetree Entertainment, Fuqua Films, Escape Artists, Sony Pictures, ZHIV Productions, Mace Neufeld Productions, Columbia Pictures",Antoine Fuqua,Harry Gregson-Williams,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman","drug dealer, martial arts, central intelligence agency (cia), rape, kidnapping",2026-01-19 01:36:05.812 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,2013217,b8be298d-b25a-4f85-a2ed-0d9eb0a7db0d,The Equalizer 2,Album,Soundtrack,2227460.0,b838ab02-9155-43bc-8f1d-d9b99b5dfc3a,The Equalizer 2,Official,,886447126448.0,English,Latin,,,,,,,,,,,,Sony Classical | Sony Music,10920823-9ed8-45d9-adb3-69fc22475ab0 | 9e6b4d7f-4958-4db7-8504-d89e315836af,classical | big three | clean up | pop rock | record company logo | rock | sicc | soft rock | soundtrack | star wars | 88985336172 | veronica,,,2018-08-04 07:47:16.216 -0400,https://www.amazon.com/gp/product/B07FDGP78J,B07FDGP78J,present,Official,True,True,False,single_album_film,,2753,,,,,,,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Harry Gregson-Williams,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,14.0,77.0,https://www.last.fm/music/Harry+Gregson%E2%80%90Williams/The+Equalizer+2,text,2026-01-28 22:03:29.103277+00:00,2.6390573296152584,4.343805421853684
404368,Ralph Breaks the Internet,False,112,"Family, Animation, Comedy, Adventure",7.2,7939,PG,Ralph Breaks the Internet,English,tt5848272,Q25167044,United States of America,2018,2018-11-20,5.905,175000000,529323962,Walt Disney Animation Studios,"Rich Moore, Phil Johnston",Henry Jackman,"John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Bill Hader","video game, cartoon, sequel, internet, lethal virus",2026-01-19 01:36:05.812 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,2061404,c05f4f37-be54-4b11-b418-ee5bb43e1240,Ralph Breaks the Internet,Album,Soundtrack,2289422.0,105a1e53-9588-4b7d-abe8-717186ec586c,Ralph Breaks the Internet,Official,,50087406745.0,English,Latin,Apple Digital Master,2018-11-30,2018.0,11.0,30.0,False,False,False,False,,,Walt Disney Records,1c50034a-5c92-41a4-95ad-0acb7ea4686f,score | soundtrack | soundtrack label | classical | teen pop | soundtrack frozen,,,2018-11-16 10:47:13.671 -0500,,,present,Official,True,True,False,single_album_film,,2629,2619.0,,,,,,,,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Henry Jackman,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,299.0,3386.0,https://www.last.fm/music/Henry+Jackman/Ralph+Breaks+the+Internet,text,2026-01-28 22:04:53.205486+00:00,5.700443573390687,8.12740456269308
268896,Pacific Rim: Uprising,False,111,"Action, Fantasy, Science Fiction, Adventure",6.132,5208,PG-13,Pacific Rim: Uprising,English,tt2557478,Q27826501,United States of America,2018,2018-03-21,5.6464,150000000,290061297,"Legendary Pictures, Double Dare You",Steven S. DeKnight,Lorne Balfe,"John Boyega, Scott Eastwood, Cailee Spaeny, Jing Tian, Rinko Kikuchi","mind control, race against time, japan, army, monster",2026-01-19 01:36:05.812 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1938613,f3004614-1cc2-422a-9411-ce446a0ae2bd,Pacific Rim Uprising (Original Motion Picture Soundtrack),Album,Soundtrack,2387252.0,d23a7126-fccb-4f55-b56f-d85c423ff12a,Pacific Rim Uprising,Official,Jewel Case,3299039999721.0,English,Latin,,2018-04-06,2018.0,4.0,6.0,False,False,False,False,,,Milan,41099e29-7301-4fa3-86a4-8d510157b275,burbank | california | clean up | score | soundtrack label | split me | us | soundtrack,40.0,1.0,2019-04-02 03:22:15.538 -0400,,,absent,Official,True,True,False,single_album_film,,2873,2857.0,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,Lorne Balfe,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,1323.0,22928.0,https://www.last.fm/music/Lorne+Balfe/Pacific+Rim+Uprising+(Original+Motion+Picture+Soundtrack),text,2026-01-28 22:16:42.505275+00:00,7.187657164114956,10.040114150067954
338952,Fantastic Beasts: The Crimes of Grindelwald,False,134,"Fantasy, Adventure",6.839,11296,PG-13,Fantastic Beasts: The Crimes of Grindelwald,English,tt4123430,Q18199331,United Kingdom / United States of America,2018,2018-11-14,5.1437,200000000,654900000,"Warner Bros. Pictures, Heyday Films",David Yates,James Newton Howard,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Johnny Depp","witch, new york city, paris, france, magic, school of witchcraft",2026-01-19 01:36:05.812 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,2051294,a50a4548-7d90-4af4-b97f-d73de3e63356,Fantastic Beasts: The Crimes of Grindelwald (Original Motion Picture Soundtrack),Album,Soundtrack,2276336.0,0f769e61-f686-446c-87bf-6b9ec05f8adb,Fantastic Beasts: The Crimes of Grindelwald (Original Motion Picture Soundtrack),Official,,,English,Latin,,2018-01-01,2018.0,,,True,True,True,True,,,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2018-10-25 15:15:03.924 -0400,https://www.amazon.com/gp/product/B07J6THVPW,B07J6THVPW,present,Official,True,True,False,single_album_film,,2635,2952.0,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,James Newton Howard,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,60469.0,557699.0,https://www.last.fm/music/James+Newton+Howard/Fantastic+Beasts:+The+Crimes+of+Grindelwald+(Original+Motion+Picture+Soundtrack),text,2026-01-28 21:58:45.431296+00:00,11.00988611600467,13.231574669297322
428078,Mortal Engines,False,128,"Adventure, Science Fiction",6.209,4969,PG-13,Mortal Engines,English,tt1571234,Q28999515,New Zealand / United States of America,2018,2018-11-27,4.3664,100000000,83869818,"Scholastic Productions, Silvertongue Films, Universal Pictures, WingNut Films, MRC",Christian Rivers,Tom Holkenborg,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae, Ronan Raftery","based on novel or book, dystopia, post-apocalyptic future, revenge, wasteland",2026-01-19 01:36:05.812 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,2075892,d1262d5a-fe78-4e48-a319-f7af6d02c61f,Mortal Engines,Album,Soundtrack,2308024.0,687aa9a9-c127-42d2-aff9-62231b7b1eaa,Mortal Engines,Official,,,English,Latin,,2018-01-01,2018.0,,,True,True,True,True,,soundtrack,Back Lot Music,227b901e-7ba3-4a1d-a3cb-3cb67a22e660,soundtrack,,,2018-12-14 12:11:16.131 -0500,,B07L15XHZP,present,Official,True,True,False,single_album_film,,2622,2952.0,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Tom Holkenborg,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,65.0,2021.0,https://www.last.fm/music/Tom+Holkenborg/Mortal+Engines,text,2026-01-28 22:08:54.037857+00:00,4.174387269895637,7.611347717403621
429351,12 Strong,False,130,"War, Drama, Action, History",6.346,3123,R,12 Strong,English,tt1413492,Q28863792,United States of America,2018,2018-01-18,4.1415,35000000,67450815,"Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, 16:14 Entertainment",Nicolai Fuglsig,Lorne Balfe,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes","central intelligence agency (cia), based on novel or book, afghanistan, based on true story, taliban",2026-01-19 01:36:05.812 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1911986,c4d038f7-475a-45c6-bb1b-e5726532fa9e,12 Strong: Original Motion Picture Soundtrack,Album,Soundtrack,2100608.0,51986a97-4179-426e-8888-fbb61220f498,12 Strong: Original Motion Picture Soundtrack,Official,,794043195310.0,English,Latin,,,,,,,,,,,ambient | soundtrack,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2018-01-12 12:05:02.834 -0500,https://www.amazon.com/gp/product/B078WJ16LY,B078WJ16LY,present,Official,True,True,False,single_album_film,,2935,,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,Lorne Balfe,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,20.0,394.0,https://www.last.fm/music/Lorne+Balfe/12+Strong:+Original+Motion+Picture+Soundtrack,text,2026-01-28 22:05:43.671476+00:00,2.995732273553991,5.976350909297934
375588,Robin Hood,False,116,"Adventure, Action, Thriller, Fantasy",5.9,3092,PG-13,Robin Hood,English,tt4532826,Q28811584,United States of America,2018,2018-11-03,4.0689,100000000,86493046,"Appian Way, Safehouse Pictures, Summit Entertainment, Thunder Road, TIK Films, EMG Management, Lionsgate",Otto Bathurst,Joseph Trapanese,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Jamie Dornan","sheriff, affectation, robin hood, archer, sherwood forest",2026-01-19 01:36:05.812 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,2061255,cb045e04-1299-4d27-88d6-2099ccb491ff,Robin Hood,Album,Soundtrack,2289213.0,638233d8-b5b3-46e9-a3f7-365022918fdc,Robin Hood,Official,,,English,Latin,2018 movie,2018-11-16,2018.0,11.0,16.0,False,False,False,False,classical,,Sony Classical,10920823-9ed8-45d9-adb3-69fc22475ab0,classical | sicc | soundtrack | star wars,,,2018-11-16 02:06:09.315 -0500,,B07K1PBYZG,present,Official,True,True,False,single_album_film,,2646,2633.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,Joseph Trapanese,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,72.0,1182.0,https://www.last.fm/music/Joseph+Trapanese/Robin+Hood,text,2026-01-28 22:07:44.890953+00:00,4.276666119016055,7.074963197966044
