"tmdb_id","release_group_id","artist_credit_id","position","artist_id","credited_name","join_phrase","is_primary_artist"
520016,2306275,1,0,1,Various Artists,"",true
416239,1687205,1,0,1,Various Artists,"",true
894958,3294554,1,0,1,Various Artists,"",true
693838,2580049,1,0,1,Various Artists,"",true
1103856,4320307,1,0,1,Various Artists,"",true
602464,3189976,1,0,1,Various Artists,"",true
283995,1796841,1,0,1,Various Artists,"",true
251516,1530143,1,0,1,Various Artists,"",true
383498,1968579,1,0,1,Various Artists,"",true
188222,1532136,1,0,1,Various Artists,"",true
551806,3885439,1,0,1,Various Artists,"",true
840430,3492919,1,0,1,Various Artists,"",true
466272,2202683,1,0,1,Various Artists,"",true
484510,1877396,1,0,1,Various Artists,"",true
274479,1801336,1,0,1,Various Artists,"",true
438674,3269020,1,0,1,Various Artists,"",true
772879,2580085,1,0,1,Various Artists,"",true
364689,1893205,1,0,1,Various Artists,"",true
536743,2270855,1,0,1,Various Artists,"",true
459214,2045789,1,0,1,Various Artists,"",true
325789,3392144,1,0,1,Various Artists,"",true
460713,1992632,1,0,1,Various Artists,"",true
376660,1722772,1,0,1,Various Artists,"",true
340485,1754606,1,0,1,Various Artists,"",true
296099,1648561,1,0,1,Various Artists,"",true
466994,4078511,1,0,1,Various Artists,"",true
275601,1626741,1,0,1,Various Artists,"",true
318922,1594668,1,0,1,Various Artists,"",true
418393,1755088,1,0,1,Various Artists,"",true
264999,1548993,1,0,1,Various Artists,"",true
452016,1942981,1,0,1,Various Artists,"",true
399170,1844006,1,0,1,Various Artists,"",true
334533,1787898,1,0,1,Various Artists,"",true
341013,1834227,1,0,1,Various Artists,"",true
460048,2362309,1,0,1,Various Artists,"",true
317557,1743799,1,0,1,Various Artists,"",true
586239,2692151,1,0,1,Various Artists,"",true
412519,1695936,1,0,1,Various Artists,"",true
420818,2186269,1,0,1,Various Artists,"",true
440597,1901695,1,0,1,Various Artists,"",true
709681,2579296,1,0,1,Various Artists,"",true
136799,1689535,1,0,1,Various Artists,"",true
180863,1758855,1,0,1,Various Artists,"",true
360339,2406700,1,0,1,Various Artists,"",true
252512,2068647,1,0,1,Various Artists,"",true
860810,4222558,1,0,1,Various Artists,"",true
478682,1902647,1,0,1,Various Artists,"",true
277216,1621691,1,0,1,Various Artists,"",true
718032,2825823,1,0,1,Various Artists,"",true
471894,2724689,1,0,1,Various Artists,"",true
407451,1937745,1,0,1,Various Artists,"",true
589970,2277777,1,0,1,Various Artists,"",true
232572,1857585,1,0,1,Various Artists,"",true
456562,1827292,1,0,1,Various Artists,"",true
599925,2748116,1,0,1,Various Artists,"",true
451751,1919298,1,0,1,Various Artists,"",true
594669,2577462,1,0,1,Various Artists,"",true
936108,4223218,1,0,1,Various Artists,"",true
339397,1786658,1,0,1,Various Artists,"",true
432787,2054847,1,0,1,Various Artists,"",true
831815,4467493,1,0,1,Various Artists,"",true
377691,858766,1,0,1,Various Artists,"",true
320295,3174076,1,0,1,Various Artists,"",true
414223,3189759,1,0,1,Various Artists,"",true
302429,1545503,1,0,1,Various Artists,"",true
353616,1899697,1,0,1,Various Artists,"",true
364067,1598018,1,0,1,Various Artists,"",true
1064551,4318641,1,0,1,Various Artists,"",true
322855,165359,1,0,1,Various Artists,"",true
309245,1634340,1,0,1,Various Artists,"",true
564147,2272292,1,0,1,Various Artists,"",true
229182,377315,1,0,1,Various Artists,"",true
428756,1884279,1,0,1,Various Artists,"",true
555311,2118119,1,0,1,Various Artists,"",true
1261825,4467757,1,0,1,Various Artists,"",true
695089,2848335,1,0,1,Various Artists,"",true
529149,2576744,1,0,1,Various Artists,"",true
334878,2207859,1,0,1,Various Artists,"",true
482048,1977375,1,0,1,Various Artists,"",true
998846,3677556,1,0,1,Various Artists,"",true
760982,2741805,1,0,1,Various Artists,"",true
699102,2924057,1,0,1,Various Artists,"",true
720321,1370795,1,0,1,Various Artists,"",true
417261,2098964,1,0,1,Various Artists,"",true
686919,2577570,1,0,1,Various Artists,"",true
917496,3837397,1,0,1,Various Artists,"",true
256591,2766418,1,0,1,Various Artists,"",true
1067950,4069361,1,0,1,Various Artists,"",true
1233413,4146704,1,0,1,Various Artists,"",true
520679,2517093,1,0,1,Various Artists,"",true
550988,2746592,1,0,1,Various Artists,"",true
381356,1765632,1,0,1,Various Artists,"",true
964980,3270834,1,0,1,Various Artists,"",true
576845,2798518,1,0,1,Various Artists,"",true
369557,1694724,1,0,1,Various Artists,"",true
836563,339219,1,0,1,Various Artists,"",true
482273,2391192,1,0,1,Various Artists,"",true
522328,3955411,1,0,1,Various Artists,"",true
308638,2415739,1,0,1,Various Artists,"",true
389976,1761309,1,0,1,Various Artists,"",true
911430,4163820,1,0,1,Various Artists,"",true
1245700,3931904,1,0,1,Various Artists,"",true
1252455,3769061,1,0,1,Various Artists,"",true
638240,2668889,1,0,1,Various Artists,"",true
545581,2170388,1,0,1,Various Artists,"",true
388223,1505978,1,0,1,Various Artists,"",true
501192,2724669,1,0,1,Various Artists,"",true
508442,2552100,1,0,1,Various Artists,"",true
353464,1830573,1,0,1,Various Artists,"",true
313369,1725991,1,0,1,Various Artists,"",true
277355,1494035,1,0,1,Various Artists,"",true
417870,1945923,1,0,1,Various Artists,"",true
308639,1536244,1,0,1,Various Artists,"",true
616815,3434441,1,0,1,Various Artists,"",true
318106,3440799,1,0,1,Various Artists,"",true
514995,2734903,1,0,1,Various Artists,"",true
384112,2923300,1,0,1,Various Artists,"",true
496450,3644177,1,0,1,Various Artists,"",true
341689,2002990,1,0,1,Various Artists,"",true
324849,1761677,1,0,1,Various Artists,"",true
657195,2814702,1,0,1,Various Artists,"",true
1104845,4467410,1,0,1,Various Artists,"",true
662231,2575756,1,0,1,Various Artists,"",true
426426,2078548,1,0,1,Various Artists,"",true
401313,2798577,1,0,1,Various Artists,"",true
417678,1896587,1,0,1,Various Artists,"",true
748457,2600997,1,0,1,Various Artists,"",true
403570,3833646,1,0,1,Various Artists,"",true
491474,2471602,1,0,1,Various Artists,"",true
695721,3485118,1,0,1,Various Artists,"",true
747188,3348772,1,0,1,Various Artists,"",true
587138,2306275,1,0,1,Various Artists,"",true
726664,2467369,1,0,1,Various Artists,"",true
495764,2295511,1,0,1,Various Artists,"",true
597089,2590633,1,0,1,Various Artists,"",true
296096,1679123,1,0,1,Various Artists,"",true
378018,2957322,1,0,1,Various Artists,"",true
603673,2578443,1,0,1,Various Artists,"",true
271715,3023112,1,0,1,Various Artists,"",true
436830,1902647,1,0,1,Various Artists,"",true
617031,2963190,1,0,1,Various Artists,"",true
484247,3012234,1,0,1,Various Artists,"",true
332340,1573214,1,0,1,Various Artists,"",true
648316,2590264,1,0,1,Various Artists,"",true
493065,2467704,1,0,1,Various Artists,"",true
1149504,4322126,1,0,1,Various Artists,"",true
627072,2578463,1,0,1,Various Artists,"",true
303991,1770668,1,0,1,Various Artists,"",true
325189,1545189,1,0,1,Various Artists,"",true
531634,2448265,1,0,1,Various Artists,"",true
460793,1879528,1,0,1,Various Artists,"",true
454458,2137246,1,0,1,Various Artists,"",true
377691,1711396,1,0,1,Various Artists,"",true
301351,1583038,1,0,1,Various Artists,"",true
987257,3399178,1,0,1,Various Artists,"",true
459970,2094277,1,0,1,Various Artists,"",true
890116,3294554,1,0,1,Various Artists,"",true
450994,2775429,1,0,1,Various Artists,"",true
444902,1804491,1,0,1,Various Artists,"",true
585244,2334563,1,0,1,Various Artists,"",true
337170,1863716,1,0,1,Various Artists,"",true
337960,3617366,1,0,1,Various Artists,"",true
930564,3898718,1,0,1,Various Artists,"",true
384018,2208573,1,0,1,Various Artists,"",true
702550,2580035,1,0,1,Various Artists,"",true
407448,1837213,1,0,1,Various Artists,"",true
417320,1813860,1,0,1,Various Artists,"",true
398939,1945640,1,0,1,Various Artists,"",true
540709,2741536,1,0,1,Various Artists,"",true
454619,2001241,1,0,1,Various Artists,"",true
1101582,3545211,1,0,1,Various Artists,"",true
346698,3321187,1,0,1,Various Artists,"",true
168259,1499039,1,0,1,Various Artists,"",true
467017,2074165,1,0,1,Various Artists,"",true
585062,2204995,1,0,1,Various Artists,"",true
358985,2728499,1,0,1,Various Artists,"",true
347626,2811857,1,0,1,Various Artists,"",true
384682,1736437,1,0,1,Various Artists,"",true
721048,2781341,1,0,1,Various Artists,"",true
1241634,4254764,1,0,1,Various Artists,"",true
582014,2331390,1,0,1,Various Artists,"",true
324277,1720994,1,0,1,Various Artists,"",true
414181,4318339,1,0,1,Various Artists,"",true
830784,3092525,1,0,1,Various Artists,"",true
372411,1675847,1,0,1,Various Artists,"",true
1144932,4103347,1,0,1,Various Artists,"",true
678512,3908538,1,0,1,Various Artists,"",true
273899,2503392,1,0,1,Various Artists,"",true
462919,2028640,1,0,1,Various Artists,"",true
441868,1828829,1,0,1,Various Artists,"",true
364137,1711045,1,0,1,Various Artists,"",true
531597,2087186,1,0,1,Various Artists,"",true
772071,3223563,1,0,1,Various Artists,"",true
955496,3985664,1,0,1,Various Artists,"",true
432618,1939924,1,0,1,Various Artists,"",true
353577,3531416,1,0,1,Various Artists,"",true
547654,2715600,1,0,1,Various Artists,"",true
454769,2748705,1,0,1,Various Artists,"",true
259694,2334616,1,0,1,Various Artists,"",true
336211,1524800,1,0,1,Various Artists,"",true
611356,2578433,1,0,1,Various Artists,"",true
426256,1860890,1,0,1,Various Artists,"",true
385128,2694417,1,0,1,Various Artists,"",true
419916,1976129,1,0,1,Various Artists,"",true
582871,2712045,1,0,1,Various Artists,"",true
337339,1774491,1,0,1,Various Artists,"",true
381284,1724731,1,0,1,Various Artists,"",true
873488,4320403,1,0,1,Various Artists,"",true
1242434,4312882,1,0,1,Various Artists,"",true
1019939,3967273,1,0,1,Various Artists,"",true
446894,2039635,1,0,1,Various Artists,"",true
373471,1711018,1,0,1,Various Artists,"",true
266639,1582779,1,0,1,Various Artists,"",true
391779,1686732,1,0,1,Various Artists,"",true
262500,1504616,1,0,1,Various Artists,"",true
302688,1685841,1,0,1,Various Artists,"",true
558915,3539619,1,0,1,Various Artists,"",true
744676,2579830,1,0,1,Various Artists,"",true
437758,1830160,1,0,1,Various Artists,"",true
340275,1849472,1,0,1,Various Artists,"",true
339846,1809789,1,0,1,Various Artists,"",true
