artist_id,artist_mbid,name,sort_name,artist_type,gender,artist_comment,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,area_name,area_mbid,begin_area_name,begin_area_mbid,end_area_name,end_area_mbid,aliases_text,artist_tags_text,isni_text,ipi_text,film_ct_in_spine,soundtrack_release_group_ct_in_spine,electronic_producer,jazz_traditional,media_composer_orchestral,pop_vocalist,rock_artist_band,world_folk_regional,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner
2588726,4641aac2-3edd-4fce-b843-63a9c4f1a47c,Quenellx95,Quenellx95,Person,Male,Singer-Songwritter,1995.0,8.0,20.0,,,,Durban,6e468d04-2c88-4177-8cd5-09ee93239843,Durban,6e468d04-2c88-4177-8cd5-09ee93239843,,,Kwanele Vuyani Mbonambi,pop | singer-songwriter,,,1,1,False,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1561588,6f2494ec-ded3-4677-8ce4-e450a2929f61,Yakzan Gary Pereira,Yakzan Gary Pereira,Person,Male,Malayalam,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1413887,1f523f4f-dd82-445c-ac12-6c8b0d918f51,Kid Nebula,Kid Nebula,,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1607708,bfbb73dc-754c-46f5-9618-0d7a5874a290,Mumbo Jumbo,Mumbo Jumbo,Group,,Australian New-Wave Group,,,,,,,Australia,106e0bec-b638-3b37-b731-f53d507dc00e,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1120254,ba96d5ef-dde6-4277-800d-dca0ad3038b8,Elijah B. Torn,"Torn, Elijah B.",Person,Male,,,,,,,,,,,,,,,,,,2,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2643176,1ca5fe58-a8b8-4272-b14f-357a308423cd,Ashim Kemson,"Kemson, Ashim",,,,,,,,,,,,,,,,,,,,2,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
403990,165f125f-f9fc-4395-8173-09c5fdeeac6f,Jaro Marcin,"Marcin, Jaro",Person,,,1979.0,10.0,4.0,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2327907,a005ec30-fea8-43fb-910a-4d10b8b13f74,Rishi Dutta,"Dutta, Rishi",,,,,,,,,,,,,,,,,,,,2,2,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1787509,0bda67f4-165d-4d22-8bde-9833dffa1808,Thibault Kientz-Agyeman,"Kientz-Agyeman, Thibault",Person,Male,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
860373,5d1fd121-f3cc-4206-b3a6-16f04d0ff238,Roger Neill,"Neill, Roger",Person,Male,,,,,,,,United States,489ce91b-6658-3307-9877-795b68554c98,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2339542,401a07cf-1f9a-4c8a-8ad4-380475ef8a0c,Zeitfall,Zeitfall,Person,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1494735,b806ab0b-9428-4215-b3c9-a11dfc5c05b6,Siddharth‐Garima,Siddharth‐Garima,Group,,,,,,,,,India,d31a9a15-537f-3669-ad53-25753ddd2772,,,,,,,,,2,2,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1310276,d6273919-fe1c-4285-9747-2335445ed7b4,Leo Birenberg,"Birenberg, Leo",Person,,soundtrack composer,,,,,,,,,,,,,,soundtrack,,,1,1,False,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
404163,bb83fb59-a62c-4d82-a38d-50177cd34207,Monika,Monika,Person,Female,Greek singer-songwriter,1985.0,5.0,26.0,,,,Greece,803db0ca-b6ed-3bbc-aeb8-f89efd0a2168,,,,,Λεμονιά Χριστοδούλου | Μόνικα | Μόνικα Χριστοδούλου,greek,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
542904,9980f937-050c-43ba-b710-0be07a942a11,Peter Raeburn,"Raeburn, Peter",Person,Male,,,,,,,,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Johannesburg,291777c2-c48d-4002-9a0d-c7f87fea5c2b,,,,ambient | new age,,,4,4,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
861846,80d8dbfe-d5bd-4189-acd2-9fbc5b5afea6,Christine,Christine,Group,,electro duo from Rouen,,,,,,,France,08310658-51eb-3801-80de-5a0739207115,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
273819,0bcd2a74-cf0b-4956-84ee-c9cdb1010cad,甲田雅人,"Kouda, Masato",Person,Male,,1971.0,10.0,24.0,,,,Japan,2db42837-c832-3c27-b4a3-08198f75693c,Fujiyoshida,6596bf75-8dac-426d-b13a-cc61483aab03,,,Kda Mto | Kouda Masato | Masato Koda | Masato Kohda | Masato Kooda | Masato Kouda | 甲田雅人,composer | game,,,1,1,False,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
805327,6f4e8294-49b8-4ae8-91b5-cb9d644e90ff,DM DOKURO,DM DOKURO,Person,Male,,1990.0,10.0,4.0,,,,Greenfield,656a50bc-3b97-4c42-a125-f1e2bb7d6acd,,,,,Omar Carlo | Pocket Dokuro | Solar Dokuro,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2200909,06733ea8-ca2c-4d64-b619-6a05ecefc29f,市松寿ゞ謡,"Itimatu, Suzuka",,Female,,,,,,,,Japan,2db42837-c832-3c27-b4a3-08198f75693c,,,,,ItimatuSuzuka,virtual youtuber | vtuber,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1672815,c8ab14c6-3e06-487b-a584-41daf59e5897,Sigurður Skagfield,"Skagfield, Sigurður",Person,Male,,1895.0,6.0,29.0,1956.0,9.0,21.0,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
633179,ea4c3e59-f2bc-4880-942e-fbeaa64d8573,Imran Khan,Imran Khan,Person,Male,bhangra artist,1984.0,2.0,7.0,,,,Netherlands,ef1b7cc0-cd26-36f4-8ea0-04d9623786c7,Den Haag,1bf52e6e-d46b-4013-9427-3ad4446ecbc0,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2220684,d9824c7b-b14b-4715-9c2f-13df10738195,Tina Rix,"Rix, Tina",Person,Female,Rix,,,,,,,United States,489ce91b-6658-3307-9877-795b68554c98,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2513404,3e215b7f-63a3-4f22-aafb-eecdb7c663c3,Scott Cawthon,"Cawthon, Scott",Person,Male,Creator of Five Nights at Freddy's,1978.0,6.0,4.0,,,,,,Houston,c920948b-83e3-40b7-8fe9-9ab5abaac55b,,,,,,,2,3,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1971036,3a5466cd-097f-4130-a25b-a91b19042873,Corentin Brasart,"Brasart, Corentin",,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
351688,55b69527-3bbc-4ea2-9a8f-d44bdc8a83e6,Shekhar Ravjiani,"Ravjiani, Shekhar",Person,Male,,,,,,,,India,d31a9a15-537f-3669-ad53-25753ddd2772,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2076410,3fe0a86f-c90b-40d2-9d07-7855a20f3082,Abhishek Arora,"Arora, Abhishek",Person,Male,,,,,,,,,,,,,,,,,,2,2,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
785157,c5b0bd7b-aa98-480c-8a54-77116db55473,Mikel Salas,"Salas, Mikel",Person,Male,,,,,,,,Spain,471c46a7-afc5-31c4-923c-d0444f5053a4,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
368739,4c991912-35f7-4c4f-bf6c-c57350cc833a,Tapas Relia,"Relia, Tapas",,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1524606,c1566362-73e3-4f23-8055-c3416b0a3ad6,Hesham Abdul Wahab,"Wahab, Hesham Abdul",Person,Male,"Indian music director, music producer, singer and audio engineer",,,,,,,,,,,,,,,,,2,3,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
